author,creator,titles,dates,publishers,languages,subjects,descriptions,earliest_year,latest_year,Frequency,urls,og_dates
Julius Caesar,"['Caesar, Julius.', 'Caesar, Julius.']","""['C. Julii Cæsaris quæ exstant, interpretatione & notis illustravit Joannes Godvinus ... in usum Delphini. Juxta editionem parisiensem.', 'C. Julii Cæsaris quæ extant, accuratissime cum libris editis et MSS optimis collata, recognita & correcta. Accesserunt annotationes Samuelis Clarke, S.T.P. Item indices locorum, rerumque & verborum, utilissimæ.']""","[1731.0, 1739.0]","['Londini : typis T. Wood; impensis J. & J. Knapton, D. Midwinter & A. Ward, A. Bettesworth, S. Ballard, G. Innys [and 5 others in London],', 'Londini : sumptibus & typis J. & R. Tonson, & J. Watts,']","['lat', 'lat']","[nan, nan]","['ESTC', 'ESTC']",1731.0,1739.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBZnntcJyZAp8Mus166C9N0vJMYgPXXNOV0hL47PTHd4b4LH_DN6VH-JpOsiY&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQbSE6hdL0M3pMWQ1p2ipazA4dGkmU5N5ZJcwHkvBRmTFUZaF0ibybXuf4h4A&s']","['1731.', '1739.']"
Justine Smith,"['Smith, Justine.']","""['Peekaboo.']""",[2009.0],"['Ladybird,']",['eng'],[nan],['Cover title.'],2009.0,2009.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnnsNf7UEchpculTIDKUtAl0DePu6J0P79Gy2HWee_7g6Sm6ecmNQx6kRAvA&s'],['c2009.']
Kate Hudson,"['Hudson, Kate,1958-']","""['Breaking the South Slav dream : the rise and fall of Yugoslavia ']""",[2003.0],"['London : Pluto Press,']",['eng'],[nan],['Includes bibliographical references and index.'],2003.0,2003.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSxAyBxgSMG43DrDSEQ1L0tYa_FeKxUttIQdalx7tTNoUH5fpiAUJ1NXqSEgQ&s'],['2003.']
Katharine Whitehorn,"['Whitehorn, Katharine,1928-']","""['How to survive your money problems ']""",[1983.0],['London Methuen'],['eng'],['Home economics'],['Includes index'],1983.0,1983.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsxz8zs0QPp3kW4db-itzmb3AlEIORRFJ1Qepf9zOej3lpaKuJLeXdUSiizXI&s'],['1983']
Katherine Anne Porter,"['Porter, Katherine Anne.', 'Porter, Katherine Anne,1890-1980.']","""['Hacienda. [A tale of Mexico.]', 'The collected essays and occasional writings of Katherine Anne Porter.']""","[1934.0, 1970.0]","['[New York], ', 'New York, Delacorte Press']","['eng', 'eng']","[nan, nan]","[nan, '""A Seymour Lawrence book.""']",1934.0,1970.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjIu7d2PAAhAE9Z3vwj-NVAVRfrrotUPhYrLroNkDqqghYP5BxwOw6paoeYaI&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTuUIwrseuBMZuINhdMwZJnT85p6wC0XmlPQrC84tXTRWiYLlFoYoQ5z3HiQ&s']","['1934.', '[1970]']"
Kathleen Edwards,"['Edwards, Kathleen.']","""['The English secular cathedrals in the middle ages. A constitutional study with special reference to the fourteenth century. [With plates and a bibliography.]']""",[1967.0],"['Manchester, ']",['eng'],[nan],[nan],1967.0,1967.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSI6eezUIBEe6IEejmlaZC0ym95DWtneS-eO6P15u1uTjhmXU112DbyaF-sVw&s'],['1967.']
Katie Hickman,"['Hickman, Katie,1960-']","""['Dreams of the peaceful dragon a journey into Bhutan']""",[1988.0],['Sevenoaks Sceptre'],['eng'],[nan],"['Originally published: London : Gollancz, 1987']",1988.0,1988.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrihB2Tz6JCCfX9-Gy5A-PFzGqudoI-egFJg-W7DE5YA-mtLT-_yH_eGOZ-A&s'],"['1989, c1987']"
Katy Jackson,"['Jackson, Katy.']","""['Beautiful home colouring book.']""",[2011.0],"['Buster Books,']",['eng'],[nan],[nan],2011.0,2011.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDFMMV_H3LJJWRmKwNWA9SQkyYZooEvOIAJ0LjQyqQOv1AsbGebmfhXogWAw&s'],['2011.']
Keith Buckley,"['Buckley, Keith.']","""['Five plays for Christmas']""",[1987.0],['Oxford Basil Blackwell'],['eng'],['Jesus Christ'],[nan],1987.0,1987.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTpWmFLVEyAwZGB_R1SkQfhVQsI0eXidIr_BA3gxf32etWYXmBNg5HblG1xGpg&s'],['1987']
Keith Maillard,"['Maillard, Keith,1942-']","""['Dementia americana : poems ']""",[1994.0],"['Vancouver : Ronsdale/Cacanadada,']",['eng'],[nan],[nan],1994.0,1994.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR6s5F_tF-5j-PoBA1pET7kdAKMFLMmmgvAXv3kph8r6oWyaTt1jr8ZgFtjhA&s'],['c1994.']
Keith Morris,"['Morris, Keith.']","""['The Anglo-Canadian year book.']""",[1914.0],"['London : William Stevens Limited,']",['eng'],[nan],"['""A standard work of reference on all matters appertaining to the Dominion of Canada.""']",1914.0,1914.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRC0YyM_cGTVkWlFQlQA7LE4wBXhrnxGDgWOc78C8EwpsSUyYVb_ki2qjySMQ&s'],['1914-']
Kelly Cherry,"['Cherry, Kelly.']","""['The life and death of poetry : poems ']""",[2013.0],"['Baton Rouge : Louisiana State University Press,']",['eng'],[nan],"['Machine generated contents note: Learning the Language -- Which Is a Verb -- A Sunday in Scotland -- Fields with Shrew -- The Bright Field -- Field Notes -- Seen but Not Heard -- A Blue Jay in the Snow -- The Loveknot -- Night Vowels -- The First Word -- Learning the Language -- Mute -- Frontward -- Talking with Only One Functional Vocal Cord -- Against Aphasia -- Language -- The Lizard at Syracuse -- Wintering -- Fiction -- Chekhov in Yalta -- ""Lovelily"" -- Poetic Justice -- Ars Poetica -- Underwriting the Words -- A Voice Survives -- Welsh Table Talk (A Sequence) -- Welsh Song -- On Bardsey Island -- Rain, Early Morning, Bardsey Island -- The Mad Friar -- The Sheep-Fly -- Scene -- Welsh Table Talk -- Line Fishing -- The Conversation -- Dream Daughter -- Girls -- A Woman in Wales -- The Spring -- Men Who Go to Work Each Day -- A Day Spent Walking and Writing -- The Manx Shearwater -- The Last Night -- Learning to Live with Stone -- What the Poet Wishes to Say -- On Translation -- What the Poet Wishes to Say.']",2013.0,2013.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkVU1qJm-5SMOTSiR47WbtLEwW3Kh1Ud5mD6gTeZiCnALbIWDdEaPXswP1hiI&s'],['c2013.']
Kenneth Attiwill,"['Attiwill, Kenneth.', 'Attiwill, Kenneth.']","""['Two minutes.', 'Once a crook. A play in a prologue and three acts.']""","[1934.0, 1943.0]","['London, ', 'London, ']","['eng', 'eng']","[nan, nan]","[nan, 'Joint authors: Evadne Price, pseud. [i.e. Helen Zenna Smith] and Kenneth Attiwill.']",1934.0,1943.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXm_xbCoTsazV5U0Gd-IyeWTGI9WE-dAaxNZjrZeaCYx-yaDXB1N-dCbu9vg&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ1xs-KdHCjK7tiuidahp73-KEeFgewzfKKx8c1350vgayXZEHi0L8CAQZOqg&s']","['[1934]', '[1943]']"
Kenneth Branagh,"['Branagh, Kenneth.']","""['Beginning ']""",[1990.0],"['London : Pan Books,']",['eng'],[nan],[nan],1990.0,1990.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT82dcQzkPivtHiGLkk-dLI0aqrkrCMNaDy0aJRTs4x1rlwt-Oi-c18mLlFgA&s'],['1990.']
Kenneth Clark,"['Clark, Kenneth,1903-1983.', 'Clark, Kenneth,1922-', 'Clark, Kenneth,1903-1983.']","""['More details from pictures in the National Gallery ', 'Pottery throwing for beginners', 'Florentine paintings, fifteenth century ']""","[1941.0, 1970.0, 1945.0]","['London,', 'ondon Studio Vista', 'London,']","['eng', 'eng', 'eng']","[nan, 'Pottery.', nan]","[nan, 'bibl p102', nan]",1941.0,1970.0,3,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbsvAw4pg4SM29wblJQ9b9aLiHJS-jF9m1SxvOX7vTyz6-5Q9iyFuIXbWryw&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTytC-c2lmlFATWZEtrl9pJuTX4zCHpgEKh10s3bvm9Oc5igp6QHa6HEXFL0g&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTq6GJfc7i37uJbXrxu2SgiLAZiAqtndsdcGfoXWeu30j0_duKMdHZX2Krreg&s']","['1941.', '1970', '1945.']"
Kenneth Grahame,"['Grahame, Kenneth,1859-1932.', 'Grahame, Kenneth,1859-1932.Wind in the willows.', 'Grahame, Kenneth,1859-1932.', 'Grahame, Kenneth,1859-1932.Wind in the willows.', 'Grahame, Kenneth,1859-1932.', 'Grahame, Kenneth,1859-1932.Wind in the willows.']","""['The wind in the willows ', 'The wind in the willows.', 'The golden age.', 'Return to Toad Hall ', 'Dream days.', 'The wind in the willows ']""","[1992.0, 2007.0, 1909.0, 1995.0, 1899.0, 2007.0]","['Ware : Wordsworth Editions,', 'New York : Sterling Pub. Co.,', 'London, ', 'St Albans : David Bennett Books,', 'New York & London, ', 'New York : Sterling,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, 'Adventure and adventurers', nan, nan, nan, 'Animals']","['""Complete and unabridged.""', 'A brief, simplified retelling of the episode in ""The Wind in the Willows"" during which Mole goes to visit his friend Badger in the Wild Wood and gets lost in a snow storm with Rat.', nan, nan, nan, ""An abridged version of Kenneth Grahame's classic tale of the escapades of four animal friends who live along a river in the English countryside--Toad, Mole, Rat, and Badger.""]",1899.0,2007.0,6,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2vF1jSrQTXae8rboKiMvEAQrDLb0YHNAUYLNI2jR9p1I3BYd33TN4d4oeHw&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTxZQoGo2PIzEIzlxR_ztjWEriQ5qtfPgw2DLpbUWbrRS0vwApgSuC0VDqbQ&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQgu5N69SpI7jQ8L2X-LisIrw1JRncwrxC_ou05-p_yjn53TYk_jka8fx-mBw&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRU112A-CzGeK2riCWQjU9GlsJX0ahKQ5C7lXAYzN-Ynfqj8AZB8BKzS73sm_0&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNR3PTUIgO68Xcmfo49kza7hOvn_D5hc8ippbsV02hnI3gPSVdiVdM36NHbdQ&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSTxZQoGo2PIzEIzlxR_ztjWEriQ5qtfPgw2DLpbUWbrRS0vwApgSuC0VDqbQ&s']","['1992.', '2007.', '[1909]', '1995.', '1899.', 'c2007.']"
Kenneth Leslie,"['Leslie, Kenneth.']","""['Such a din! poems']""",[1935.0],"['Halifax, N.S. J. McCurdy']",['eng'],['Canadian poetry.'],[nan],1935.0,1935.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR26UccOvPHYrktagrgyciCLXtzlzXUNUuli4enBiOWpsulJ1-gVIEDmLKJEpY&s'],['[ca 1935]']
Kerry Shale,"['Shale, Kerry.']","""['Orinoco the Magnificent ']""",[2000.0],"[""London : Hodder Children's Books,""]",['eng'],[nan],['Read by Kerry Shale.'],2000.0,2000.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxayY-u_IwpKx5cwY4Pg4U9J3jv7u3LKPVPrtAlnomlak-tTSW7M2Nr3M9sw&s'],['[c2000]']
Kingsley Amis,"['Amis, Kingsley.', 'Amis, Kingsley,author.', 'Amis, Kingsley,author.', 'Amis, Kingsley.', 'Amis, Kingsley.', 'Amis, Kingsley.']","""['That uncertain feeling. A novel.', 'Not available.', 'Not available.', 'Mr. Barrett's secret and other stories ', 'Tennyson', 'Lucky Jim ']""","[1966.0, 1994.0, 1973.0, 1990.0]","['London, ', nan, nan, 'Leicester : Ulverscroft,', 'Harmondsworth Penguin', 'London : Hodder and Stoughton,']","['eng', 'eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, nan, 'English poetry.', nan]","[nan, 'Originally published: London : Victor Gollancz Ltd., 1958.', 'Originally published: [London] : Jonathan Cape Ltd., 1965.', 'Originally published: London : Hutchinson, 1993.', nan, nan]",1966.0,1994.0,4,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4h13fvQkWq0V6uzwr1gbZPhpouoOvC3L_kvjf_txa1l4tRQmR33mtVqNONsA&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS08vO2wDto_weOr0m8sT-K9dMUyp-0sjDRCpYxyceYbNRQKJTCNmCA0I4gYpk&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT0Gn72jwd-wiVVJM_bLnvpn-pUQXe4joxxa1XBo9COY3WtT1alSA5mxE3XaA&s']","['1966.', nan, nan, '1995, c1993.', '1973', '1990.']"
L. Ron Hubbard,"['Hubbard, L. Ron(La Fayette Ron),1911-1986.', 'Hubbard, L. Ron(La Fayette Ron),1911-1986.']","""['The way to happiness', 'East Grinstead. Photo story.']""","[1981.0, 1966.0]","['Los Angeles Regent House', 'East Grinstead : Hubbard Association of Scientologists International,']","['eng', 'eng']","['Conduct of life.', nan]","[nan, nan]",1966.0,1981.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9gotQ92YFiHh_sRTeWT9UIqNMsX69qZMhCNnC9RNY6g_qZDrtNsgMHLgAveg&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYHxk0T6dx5tFjnxAZ4X_XItvKMdTlLfHfbkNZ2IqlpNBxMQj7r15mcYJ-a_Y&s']",
L. Sprague De Camp,"['De Camp, L. Sprague(Lyon Sprague),1907-2000.']","""['The clocks of Iraz. volume two of The Reluctant King']""",[1979.0],['London Grafton'],['eng'],[nan],"['Originally published: London : Sphere, 1979']",1979.0,1979.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTL-n_Z-r1RZdHQWA_83jv_4ZVFWXvleiMUOtAeDyPEz2YhKAGTZLj7KrY25g&s'],
Lady Gregory,"['Gregory,Lady,1852-1932.']","""['Our Irish theatre: a chapter of autobiography.']""",[1914.0],"['New York & London, ']",['eng'],[nan],[nan],1914.0,1914.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxA-mY-arxtUbsnj2HKmEcNF5mvo7qJIY11zPP5lJUM6_l4Y_tDDKX3B2DueE&s'],['1914.']
Langston Hughes,"['Hughes, Langston,1902-1967.']","""['Laughing to keep from crying. (Short stories.).']""",[1952.0],"['New York, ']",['eng'],[nan],[nan],1952.0,1952.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2AgOZuzbNsgh5-d9ys72vT6sU7O_MARK52SHzlD3Q1VZ09VidWdv1nhjt6Ok&s'],['[1952]']
Larry Kramer,"['Kramer, Larry.', 'Kramer, Larry.']","""['The normal heart', 'The destiny of me : a play in three acts ']""","[1986.0, 1993.0]","['London Methuen in association with the Royal Court Theatre', 'London : Nick Hern Books,']","['eng', 'eng']","[nan, nan]","['Originally published: New York : New American Library, 1985', 'Five men, 2 women.']",1986.0,1993.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQN_ZPqqgSez2_G0UXsBnjUhKtug_FHvemLa1YG-b5zYPiCFXMzdmmMkNzzLOY&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-oOEE26TrD5u52yikOAvwmom8M4Gc9MW00oyEm_BfIR8OGEdPQKBzd-HvQGI&s']","['1986', '1993.']"
Larry McMurtry,"['McMurtry, Larry.']","""['The late child ']""",[1998.0],"['London : Orion,']",['eng'],[nan],['Originally published: 1996.'],1998.0,1998.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfa1exqjtezICUz5UcOFR1GRJm2QW6cOidCpJTQA69oFzVk3Rbno66AA9ilA&s'],
Laud Humphreys,"['Humphreys, Laud.']","""['Tearoom trade a study of homosexual encounters in public places ']""",[1974.0],['London Duckworth'],['eng'],['Public toilets'],['Includes index'],1974.0,1974.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSwmQX-Bds9JwcqvJ0KeHfG3oBek0rlAkwdDR7zAr6Au5lRjzYv_NCIibg6Is0&s'],['1974']
Laura Ingalls Wilder,"['Wilder, Laura Ingalls,1867-1957.']","""['On the banks of Plum Creek. [A story for children based on the author's family life] ']""",[1953.0],"['New York,']",['eng'],[nan],[nan],1953.0,1953.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQCLvaHW12EYLrZaa0ljBYnz_zvFIGt7oLp-rEWunp4UR5SZ0CzmOxVrdr2Mw&s'],['1953.']
Leila Ahmed,"['Ahmed, Leila.']","""['Women and gender in Islam : historical roots of a modern debate ']""",[1992.0],"['New Haven ; London : Yale University Press,']",['eng'],[nan],[nan],1992.0,1992.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJAb0OS-DeY5VrMkJmBlvamJz1FRJTlN9Jktx9XleKTwFMJ6Q2FzSj2Vb0tQ&s'],['1992.']
Lennox Robinson,"['Robinson, Lennox,1886-1958.']","""['Church Street. A play [in one act.]']""",[1955.0],"['Belfast, ']",['eng'],[nan],[nan],1955.0,1955.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTIbw-8Ded5DauaiX4P3a0jc3AY4Y1AcgMckx9KNhFfXNAI9vJNiyl8GZT2Ew&s'],['1955.']
Leonard Cohen,"['Cohen, Leonard,1934-2016.']","""['Parasites of heaven. [Verse.]']""",[1966.0],"['Toronto,']",['eng'],[nan],[nan],1966.0,1966.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8gDBQvxUvvHTKudkTnK7WVMTGmtIFP9BAdmBRG2OpsrEGKc6XbW_1_6Q71w&s'],['[1966]']
Leonardo Boff,"['Boff, Leonardo.']","""['Ecclesiogenesis the base communities reinvent the church']""",[1986.0],['London Collins'],['eng'],['Christianity'],['Includes index'],1986.0,1986.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSBSbvS6lzmAdWpxhQEzYityPPqe3F2lhfrgYBbnNZxr9F9WQNLLhTWwrr2TRk&s'],['1986']
Leslie Brooks,"['Brooks, Leslie.']","""['Matrimonial causes. Being an exposition of the Matrimonial Causes Act, 1937, the Summary Procedure (Domestic Proceedings) Act, 1937.']""",[1937.0],"['London, ']",['eng'],[nan],[nan],1937.0,1937.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-fgq5l1IUh6DHXWVAq4smVjv1zy6xBXAbEvcUStMyFgYvUUMSOnMzShlR3Dg&s'],['1937.']
Lester Cohen,"['Cohen, Lester.']","""['Sweepings.']""",[1927.0],"['London, ']",['eng'],[nan],[nan],1927.0,1927.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSU9QMINnfyjfs4Qi-SnE7UZZtnxSL1nYztOsXknThFe7poaaEvkzx-KCqLoA&s'],['[1927]']
Lewis Carroll,"['Carroll, Lewis,1832-1898.', 'Carroll, Lewis,1832-1898.', 'Carroll, Lewis,1832-1898.', 'Carroll, Lewis,1832-1898.Through the looking glass.', 'Carroll, Lewis,1832-1898.Through the looking-glass.']","""['Alice's adventures in wonderland and through the looking glass ', 'Alice in wonderland ', 'Notes by an Oxford Chiel [C.L. Dodgson], 1865-1874.', 'Alice's adventures in Wonderland ; and, Through the looking glass and what Alice found there ', 'Alice's adventures in Wonderland ; and, Through the looking-glass and what Alice found there ']""","[1954.0, 1961.0, 1874.0, 2010.0, 2008.0]","['London, ', 'London : [s.n.],', '[Oxford,', 'London : Bloomsbury,', 'Oxford : Oxford University Press,']","['eng', 'eng', 'eng', 'eng', 'eng']","[nan, nan, nan, 'Fantasy fiction, English.', 'Fantasy.']","[nan, nan, 'A microfilm of the British Museum copy.', 'This ed. originally published: 2001.', 'Includes bibliographical references (pages xxix-xxx).']",1874.0,2010.0,5,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRl-30PTuT5fBgyIkxo203aukNYb5_89fsCqPjE4_5bM60wnzFXWasH5JT_yg&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPYPe6F1yGybwZy6c1CfTkGh-nZ0sKD4bH1vRn1LZWuXfURGzOlbk3hB8qovY&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT7_4R_sS7AnzKrEv07mi_sLN-vyt1FEn74vaJdnJ_2CW6aXvdgsMtrPUdiRQ&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlCLzJFx-2s5sm8ysjCj61ktNTNYL64wNa380tDxLTF-C-Fu_NH-2TPRVAzw&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbhxqVKywbG4U8qL7dIr34aZX_k01BeX_EicwISz_NTjofb87xb_X7HSCym94&s']","['1954.', '1961.', '1874]', '2010.', '2008.']"
Lewis Mumford,"['Mumford, Lewis,1895-1990.']","""['The myth of the machine. Technics and human development. [Illustrated.]']""",[1967.0],"['London, ']",['eng'],[nan],[nan],1967.0,1967.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjpO8MXY9P5gYe15DE6jHGlzn70DRW6ay_Eykdgj4LCSsPOAv44MelVlBXEQ&s'],['1967.']
Lidia Vianu,"['Vianu, Lidia.']","""['Censorship in Romania ']""",[1998.0],"['Budapest : Central European University Press,']",['eng'],['Politics and literature.'],[nan],1998.0,1998.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0sFgIJ2OJKRb3O3Ez45aX-31dotmVLT0rDvCGAoVV04PPdmoFXX8AZJrXDQ&s'],['c1998.']
Lin Carter,"['Carter, Lin.']","""['Co'Not available.' the buccaneer ']""",[1975.0],"['London : Sphere,']",['eng'],[nan],[nan],1975.0,1975.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8GM20CLEYd-WFG3F3ry4ntIlJknAPv4CUSp6y_c83p-foK8v--Pry42NFi6Q&s'],['1975.']
Linda Jane Smith,"['Smith, Linda Jane,1962-']","""['Three little kittens ']""",[1990.0],"[""London : Michael O'Mara,""]",['eng'],[nan],[nan],1990.0,1990.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8njcE8lG1hEuRIVncQVE72zDE8GFaYY1_9DV0Kl0gPIvCj_fCgWhJTteNop0&s'],['1990.']
Lionel Pigot Johnson,"['Johnson, Lionel Pigot.']","""['Poetical works ']""",[1915.0],"['London, ']",['eng'],[nan],[nan],1915.0,1915.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYr9nMYQ9xSemsnixR6eahukkm_DGngcm0V9MuyYm3EiEBH_aJChLVSOI6EkU&s'],['1915.']
Lisa Bloom,"['Bloom, Lisa.']","""['Gender on ice : American ideologies of polar expeditions ']""",[1993.0],"['Minneapolis ; London : University of Minnesota Press,']",['eng'],['Feminist criticism.'],['Includes bibliographical references (p. 149-158) and index.'],1993.0,1993.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYz5TzCftECXT7zXU20j5yN9GltXILwbEfrCVblbgoq4iF7K8ko9qd3aZm9G0&s'],['c1993.']
Lois Duncan,"['Duncan, Lois,1934-']","""['The eyes of Karen Connors ']""",[1989.0],"['London : Puffin,']",['eng'],[nan],[nan],1989.0,1989.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR7P8C_BdjvqKdeOMDAmBdJJoU418_eWcE6uCjH9taZbNiW7y2x4O-w-arB8m8&s'],"['1995, c1984.']"
Lou Cameron,"['Cameron, Lou,1924-2010.']","""['The bastard's name is war']""",[1968.0],['Hodder Fawcett'],['eng'],[nan],"['Originally published, Fawcett Publications, 1963']",1968.0,1968.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFYt_hCf6c-7oLILzmgQIgINCivqbA9-JPUEM4z3X0Q4RrgUyJL-aYYzv0fKQ&s'],['1968']
Louis Joseph Vance,"['Vance, Louis Joseph.', 'Vance, Louis Joseph.']","""['The black bag ', 'The Lone Wolf.']""","[1917.0, 1919.0]","['London, ', 'London, ']","['eng', 'eng']","[nan, nan]","[nan, nan]",1917.0,1919.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtCcy2yEa8m8MXMWeh4AYuVEpem19K21ITowCal3atz3vrR5Fvd57swfWJMvY&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6lsQTaAfX7xJU-gSpQtQkLdMjqipmPQEDJtf0WZTE9wSGqfeg87tnWdhwALI&s']","['[1917]', '[1919]']"
Louis Untermeyer,"['Untermeyer, Louis,1885-1977.', 'Untermeyer, Louis,1885-1977.']","""['Moses. [Fiction.]', 'Lots of limericks. Light, lusty and lasting ']""","[1929.0, 1962.0]","['London,', 'London,']","['eng', 'eng']","[nan, nan]","[nan, nan]",1929.0,1962.0,2,"['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRx2ke4MhXlbVercUc7rVyC647asX35Q3S1U3ZBgOvvZoStBZW0aCJszhJ-07g&s', 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdmRZ11BkIqJOUFv4td8jsNSIbVVUCaxOSrG8q9xRlPOuDYDD_39EMAunXEQ&s']","['1929.', '1962.']"
Louise Meriwether,"['Meriwether, Louise.']","""['Daddy was a number runner']""",[1972.0],['London Hodder and Stoughton'],['eng'],[nan],"['Originally published, Englewood Cliffs: Prentice-Hall, 1970']",1972.0,1972.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSPmkNIKBiIACWKl35680cq5rRHUR8tGh-ABvZ0VkNObXL25ejNrBjoZLoJXA&s'],['1972']
Luis de la Rosa,"['Rosa, Luis de la,-1856.']","""['Impresiones de un viage de Mexico a Washington en octubre y noviembre de 1848 [microform] ']""",[1849.0],"['Nueva-York : Impre. de W.G. Stewart,']",['spa'],[nan],['Microfiche.'],1849.0,1849.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROrxUnHiijm-EA3-qokUa1NYKxSpBvUrpg_8vkS96YfkJ_gAKEsSf98hdDvA&s'],['[1849]']
Mahatma Gandhi,"['Gandhi,Mahatma,1869-1948.']","""['An autobiography; or the story of my experiments with truth ']""",[1956.0],"['Ahmedabad,']",['eng'],[nan],[nan],1956.0,1956.0,1,['https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_rVeMuzM3FQ6UKBDFWpmeyNw4-I6duxYG1w7XqSWcDmJoaO4X3I6ryS7TWw&s'],['1956.']
